Month,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,0.0,0.0,0.0,0.0,0.3870967741935484,0.3096774193548387,0.47096774193548385,0.00967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0
February,0.20689655172413793,0.7428571428571429,0.0,0.7642857142857143,0.0,0.0,0.0,0.0,1.2413793103448276,0.0,0.0,7.292857142857144,0.0,2.064285714285714,0.0,0.028571428571428574,0.0,0.0,0.5785714285714285,0.0,0.0
March,0.0,0.24516129032258063,0.5419354838709678,2.335483870967742,0.7161290322580645,0.24516129032258063,3.303225806451613,0.0,2.583870967741935,3.393548387096774,1.2129032258064516,0.0,0.0,0.6709677419354839,0.0,0.6258064516129032,0.0,1.967741935483871,1.0,0.07419354838709677,1.6451612903225807
April,4.4,4.366666666666666,0.9866666666666667,3.1933333333333334,1.54,3.5,1.4933333333333332,3.1133333333333337,0.92,0.02666666666666667,5.12,6.34,4.62,0.0,0.0,3.993333333333333,0.14666666666666667,0.48666666666666664,1.1266666666666665,2.55,1.3166666666666667
May,2.4000000000000004,2.4129032258064513,5.296774193548388,0.6258064516129032,11.083870967741936,4.141935483870968,9.651612903225805,1.6483870967741936,1.632258064516129,4.161290322580645,4.019354838709678,0.864516129032258,0.832258064516129,3.5806451612903225,0.0,9.290322580645162,3.0064516129032257,3.903225806451613,11.458064516129031,1.2064516129032257,1.3483870967741935
June,15.306666666666667,14.343333333333334,15.603333333333332,6.8133333333333335,15.793333333333333,12.7,13.66,20.03666666666667,12.663333333333332,8.993333333333334,12.173333333333334,19.36,11.31,25.206666666666667,0.0,15.976666666666667,15.746666666666666,14.696666666666665,23.726666666666667,6.73,6.916666666666667
July,7.845161290322581,11.519354838709678,5.464516129032258,8.619354838709677,9.52258064516129,29.838709677419356,13.864516129032259,28.77741935483871,11.861290322580645,23.90967741935484,18.019354838709678,12.47741935483871,9.235483870967743,19.822580645161292,0.0,5.067741935483871,14.63225806451613,8.66451612903226,29.906451612903226,13.238709677419354,16.225806451612904
August,16.425806451612903,8.329032258064515,12.36774193548387,4.841935483870968,13.490322580645161,6.583870967741936,12.858064516129032,15.399999999999999,6.103225806451612,5.683870967741935,9.858064516129033,13.100000000000001,12.858064516129033,13.170967741935485,0.0,6.212903225806452,5.470967741935484,11.7,33.78064516129032,33.09032258064516,22.516129032258064
September,7.14,4.126666666666667,0.8733333333333333,1.0433333333333334,8.53,13.166666666666666,14.219999999999999,15.943333333333333,5.193333333333333,9.76,11.966666666666667,9.843333333333334,5.53,11.986666666666666,0.0,2.9833333333333334,3.146666666666667,11.139999999999999,2.46,21.376666666666665,15.9
October,7.625806451612903,6.816129032258065,7.993548387096775,7.916129032258064,6.535483870967742,5.293548387096774,8.025806451612903,9.774193548387096,12.529032258064515,6.090322580645162,10.825806451612904,5.04516129032258,5.732258064516128,13.06451612903226,0.0,3.545161290322581,1.7774193548387098,4.406451612903226,7.396774193548387,12.038709677419355,3.9516129032258065
November,0.48000000000000004,8.393333333333334,2.76,1.32,1.5666666666666667,2.183333333333333,7.386666666666667,0.2533333333333333,0.47333333333333333,6.8933333333333335,4.26,6.72,1.6033333333333333,1.5599999999999998,0.0,5.996666666666667,2.4766666666666666,1.2433333333333332,0.5833333333333334,6.2,2.3699999999999997
December,1.1225806451612903,0.0,0.0,0.0,0.0,1.1548387096774193,0.0,0.7161290322580645,0.0,0.0,0.15483870967741936,1.9096774193548387,0.0,0.13548387096774195,0.0,0.24193548387096775,1.1935483870967742,1.3096774193548386,0.00967741935483871,0.16774193548387098,0.9580645161290322
