Date,Avg Rainfall
01-January,0.0
02-January,0.0
03-January,0.0
04-January,0.0
05-January,0.3870967741935484
06-January,0.3096774193548387
07-January,0.47096774193548385
08-January,0.00967741935483871
09-January,0.0
10-January,0.0
11-January,0.0
12-January,0.0
13-January,0.0
14-January,0.0
15-January,0.0
16-January,0.0
17-January,0.0
18-January,0.0064516129032258064
19-January,0.0
20-January,0.0
21-January,0.0
01-February,0.20689655172413793
02-February,0.7428571428571429
03-February,0.0
04-February,0.7642857142857143
05-February,0.0
06-February,0.0
07-February,0.0
08-February,0.0
09-February,1.2413793103448276
10-February,0.0
11-February,0.0
12-February,7.292857142857144
13-February,0.0
14-February,2.064285714285714
15-February,0.0
16-February,0.028571428571428574
17-February,0.0
18-February,0.0
19-February,0.5785714285714285
20-February,0.0
21-February,0.0
01-March,0.0
02-March,0.24516129032258063
03-March,0.5419354838709678
04-March,2.335483870967742
05-March,0.7161290322580645
06-March,0.24516129032258063
07-March,3.303225806451613
08-March,0.0
09-March,2.583870967741935
10-March,3.393548387096774
11-March,1.2129032258064516
12-March,0.0
13-March,0.0
14-March,0.6709677419354839
15-March,0.0
16-March,0.6258064516129032
17-March,0.0
18-March,1.967741935483871
19-March,1.0
20-March,0.07419354838709677
21-March,1.6451612903225807
01-April,4.4
02-April,4.366666666666666
03-April,0.9866666666666667
04-April,3.1933333333333334
05-April,1.54
06-April,3.5
07-April,1.4933333333333332
08-April,3.1133333333333337
09-April,0.92
10-April,0.02666666666666667
11-April,5.12
12-April,6.34
13-April,4.62
14-April,0.0
15-April,0.0
16-April,3.993333333333333
17-April,0.14666666666666667
18-April,0.48666666666666664
19-April,1.1266666666666665
20-April,2.55
21-April,1.3166666666666667
01-May,2.4000000000000004
02-May,2.4129032258064513
03-May,5.296774193548388
04-May,0.6258064516129032
05-May,11.083870967741936
06-May,4.141935483870968
07-May,9.651612903225805
08-May,1.6483870967741936
09-May,1.632258064516129
10-May,4.161290322580645
11-May,4.019354838709678
12-May,0.864516129032258
13-May,0.832258064516129
14-May,3.5806451612903225
15-May,0.0
16-May,9.290322580645162
17-May,3.0064516129032257
18-May,3.903225806451613
19-May,11.458064516129031
20-May,1.2064516129032257
21-May,1.3483870967741935
01-June,15.306666666666667
02-June,14.343333333333334
03-June,15.603333333333332
04-June,6.8133333333333335
05-June,15.793333333333333
06-June,12.7
07-June,13.66
08-June,20.03666666666667
09-June,12.663333333333332
10-June,8.993333333333334
11-June,12.173333333333334
12-June,19.36
13-June,11.31
14-June,25.206666666666667
15-June,0.0
16-June,15.976666666666667
17-June,15.746666666666666
18-June,14.696666666666665
19-June,23.726666666666667
20-June,6.73
21-June,6.916666666666667
01-July,7.845161290322581
02-July,11.519354838709678
03-July,5.464516129032258
04-July,8.619354838709677
05-July,9.52258064516129
06-July,29.838709677419356
07-July,13.864516129032259
08-July,28.77741935483871
09-July,11.861290322580645
10-July,23.90967741935484
11-July,18.019354838709678
12-July,12.47741935483871
13-July,9.235483870967743
14-July,19.822580645161292
15-July,0.0
16-July,5.067741935483871
17-July,14.63225806451613
18-July,8.66451612903226
19-July,29.906451612903226
20-July,13.238709677419354
21-July,16.225806451612904
01-August,16.425806451612903
02-August,8.329032258064515
03-August,12.36774193548387
04-August,4.841935483870968
05-August,13.490322580645161
06-August,6.583870967741936
07-August,12.858064516129032
08-August,15.399999999999999
09-August,6.103225806451612
10-August,5.683870967741935
11-August,9.858064516129033
12-August,13.100000000000001
13-August,12.858064516129033
14-August,13.170967741935485
15-August,0.0
16-August,6.212903225806452
17-August,5.470967741935484
18-August,11.7
19-August,33.78064516129032
20-August,33.09032258064516
21-August,22.516129032258064
01-September,7.14
02-September,4.126666666666667
03-September,0.8733333333333333
04-September,1.0433333333333334
05-September,8.53
06-September,13.166666666666666
07-September,14.219999999999999
08-September,15.943333333333333
09-September,5.193333333333333
10-September,9.76
11-September,11.966666666666667
12-September,9.843333333333334
13-September,5.53
14-September,11.986666666666666
15-September,0.0
16-September,2.9833333333333334
17-September,3.146666666666667
18-September,11.139999999999999
19-September,2.46
20-September,21.376666666666665
21-September,15.9
01-October,7.625806451612903
02-October,6.816129032258065
03-October,7.993548387096775
04-October,7.916129032258064
05-October,6.535483870967742
06-October,5.293548387096774
07-October,8.025806451612903
08-October,9.774193548387096
09-October,12.529032258064515
10-October,6.090322580645162
11-October,10.825806451612904
12-October,5.04516129032258
13-October,5.732258064516128
14-October,13.06451612903226
15-October,0.0
16-October,3.545161290322581
17-October,1.7774193548387098
18-October,4.406451612903226
19-October,7.396774193548387
20-October,12.038709677419355
21-October,3.9516129032258065
01-November,0.48000000000000004
02-November,8.393333333333334
03-November,2.76
04-November,1.32
05-November,1.5666666666666667
06-November,2.183333333333333
07-November,7.386666666666667
08-November,0.2533333333333333
09-November,0.47333333333333333
10-November,6.8933333333333335
11-November,4.26
12-November,6.72
13-November,1.6033333333333333
14-November,1.5599999999999998
15-November,0.0
16-November,5.996666666666667
17-November,2.4766666666666666
18-November,1.2433333333333332
19-November,0.5833333333333334
20-November,6.2
21-November,2.3699999999999997
01-December,1.1225806451612903
02-December,0.0
03-December,0.0
04-December,0.0
05-December,0.0
06-December,1.1548387096774193
07-December,0.0
08-December,0.7161290322580645
09-December,0.0
10-December,0.0
11-December,0.15483870967741936
12-December,1.9096774193548387
13-December,0.0
14-December,0.13548387096774195
15-December,0.0
16-December,0.24193548387096775
17-December,1.1935483870967742
18-December,1.3096774193548386
19-December,0.00967741935483871
20-December,0.16774193548387098
21-December,0.9580645161290322
